Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,776.734
8,9318.37
8.5,14798.1
9,17771.3
9.5,19209.2
10,19770.3
10.5,19504.4
11,18871.4
11.5,18226.4
12,17695.3
12.5,17422.9
13,17653.4
13.5,18112
14,18673.7
14.5,19286.4
15,19440.7
15.5,18862.1
16,17523.4
16.5,15038.9
17,9596.32
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,684.065
32,8969.9
32.5,14269.7
33,17130
33.5,18446.3
34,18944.5
34.5,18693.5
35,18045.2
35.5,17451.1
36,16942.8
36.5,16710.7
37,16923.2
37.5,17338.5
38,17864.2
38.5,18407.1
39,18535.4
39.5,17965.2
40,16652.8
40.5,14170.8
41,8981.47
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,48.3328
56,2188.93
56.5,2956.25
57,6621.27
57.5,2769.01
58,2672.5
58.5,4636.04
59,6347.87
59.5,9086.3
60,4838.81
60.5,3624.99
61,5680.74
61.5,2522.76
62,4271.37
62.5,5853.99
63,1914.35
63.5,561.246
64,190.831
64.5,91.396
65,32.8469
65.5,0
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,22.4543
80,418.681
80.5,1145.91
81,73.4216
81.5,4353.62
82,17835.6
82.5,3687.14
83,2870.4
83.5,7260.14
84,4143.14
84.5,3320.57
85,11843.5
85.5,10167
86,10179.4
86.5,6506
87,11597.3
87.5,5815.51
88,4749.45
88.5,14139.1
89,9095.85
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,372.938
104.5,1376
105,2212.09
105.5,7858.79
106,18979.7
106.5,18757.2
107,18136.5
107.5,17477.8
108,16915.5
108.5,16613.4
109,16759.7
109.5,17130
110,17651.5
110.5,18195.9
111,18355.1
111.5,17869.4
112,16690.5
112.5,14366.1
113,9416.97
113.5,0
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,411.041
128.5,1013.03
129,1657.71
129.5,1811.44
130,2223.03
130.5,2599.08
131,3056.53
131.5,4091.82
132,3214.27
132.5,3133.02
133,7143.77
133.5,5676.89
134,3862.68
134.5,4174.33
135,920.239
135.5,1551.4
136,286.115
136.5,13484.3
137,8663.67
137.5,0
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,8236.86
152.5,13514.1
153,16496.7
153.5,18111.1
154,18677.1
