Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,3465.95
8.5,11318.5
9,15908.8
9.5,18146.3
10,19272.8
10.5,19379.9
11,18761.8
11.5,17918.6
12,17154.4
12.5,16667.9
13,16676.1
13.5,17155.8
14,17847.1
14.5,18638.5
15,19168.9
15.5,18968.4
16,17946.7
16.5,16012.6
17,11791.3
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,2575.05
32.5,9312.32
33,10530.9
33.5,16041.1
34,13757.2
34.5,14880.2
35,18409.1
35.5,14243.5
36,14649.3
36.5,16313.5
37,16319.8
37.5,16786.7
38,17442.8
38.5,18236.8
39,18730.3
39.5,15379.7
40,15218.4
40.5,15716.6
41,11357.9
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,3176.52
56.5,10588.9
57,14880.5
57.5,17076.3
58,8849.1
58.5,9303.57
59,14702.3
59.5,12593.4
60,9876.33
60.5,10562.1
61,11090
61.5,1927.61
62,16562.1
62.5,13183.1
63,17730.7
63.5,16202.9
64,847.613
64.5,4738.71
65,2432.66
65.5,0
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,0
80,3197.71
80.5,10756.1
81,15147.6
81.5,17301.9
82,18333.8
82.5,18461.8
83,17834.2
83.5,17035
84,16311.9
84.5,15835.8
85,15812.9
85.5,16244
86,16835.2
86.5,17579.3
87,18046.3
87.5,17903.8
88,16957.6
88.5,6246.3
89,3680.36
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,2020.13
104.5,7772.02
105,15818.7
105.5,17979.2
106,18955.8
106.5,19026.4
107,18343.4
107.5,17496.8
108,16715.2
108.5,16263.7
109,16203.6
109.5,16616.1
110,17301.2
110.5,18070.5
111,18584
111.5,18453.5
112,17489.4
112.5,15681.3
113,11851.7
113.5,0
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,1946.99
128.5,7498.44
129,9850.48
129.5,12004.5
130,18185.7
130.5,13487.5
131,13984.1
131.5,13561.3
132,13584.9
132.5,13035.9
133,13999.8
133.5,14526.2
134,12712.7
134.5,13897.9
135,12948.2
135.5,18255.4
136,17405.6
136.5,6308.51
137,3836.17
137.5,0
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,1974.91
152.5,7701.6
153,8782.52
153.5,12403.4
154,13312
