Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,9815.29
9,14997.4
9.5,17706.1
10,18899
10.5,19019
11,18612
11.5,17884.9
12,17230.2
12.5,16805
13,16646.8
13.5,16971.3
14,17566.9
14.5,18338.4
15,19176.9
15.5,19598.4
16,19354.9
16.5,18425.4
17,16738
17.5,13398.4
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,0
32.5,7564.12
33,15869.5
33.5,18562.3
34,18814.5
34.5,14427.1
35,13136.7
35.5,14029.3
36,14094.1
36.5,17141.4
37,16870.2
37.5,17126.2
38,15516.5
38.5,14858.3
39,12969.4
39.5,14443.9
40,14856.5
40.5,7642.84
41,1691.88
41.5,811.354
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,0
56.5,9761.93
57,15057.8
57.5,17833.1
58,19131.8
58.5,19331.4
59,18978.6
59.5,18226.8
60,17533.9
60.5,17022.9
61,16790.8
61.5,17052.9
62,17570.6
62.5,18286.5
63,19052.3
63.5,19401.2
64,19098.5
64.5,18067.2
65,16261
65.5,12727.9
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,0
80,0
80.5,2931.21
81,5298.45
81.5,11492.7
82,12517.5
82.5,16870.6
83,16620.8
83.5,18423.6
84,17753.3
84.5,17275.1
85,15034.7
85.5,15419.2
86,16359.6
86.5,16396.9
87,16591.8
87.5,19543.6
88,16740.3
88.5,13795.4
89,14460.9
89.5,4158.61
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,0
104.5,5351.15
105,14743.7
105.5,851.882
106,5448.1
106.5,7375.34
107,8740.37
107.5,9998.38
108,9925.76
108.5,8523.14
109,11904.2
109.5,12864.1
110,10925.4
110.5,6369.08
111,12592.5
111.5,13373.2
112,11072.9
112.5,6500.2
113,1787.79
113.5,841.945
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,0
128.5,9854.75
129,15363.5
129.5,18348.4
130,5233.54
130.5,9025.62
131,17115.5
131.5,19093.9
132,18391.3
132.5,17893.1
133,17654.2
133.5,17951.6
134,18530.8
134.5,19274.2
135,20126.2
135.5,20587.6
136,20339.2
136.5,19293.6
137,17423.2
137.5,13782.4
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,0
152.5,2256.05
153,15800.7
153.5,18651.1
154,19981.5
154.5,20182.3
