Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSDBR,690190,-,TX,-,29.739725,-96.739725,-6,105,-6,unknown
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
2012.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4611852169036865,16.570764160156273,170.50190440995598
2012.0,1.0,1.0,0.0,30.0,0.0,0.0,0.0,2.3264153003692627,16.242211914062526,173.31319889880211
2012.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.1916453838348393,15.9136901855469,170.55386895317318
2012.0,1.0,1.0,1.0,30.0,0.0,0.0,0.0,2.5173311233520508,15.464318847656275,165.0462864203347
2012.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.8430168628692627,15.01494750976565,158.84807911987645
2012.0,1.0,1.0,2.0,30.0,0.0,0.0,0.0,3.472236156463623,14.26629028320315,152.43540951981365
2012.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,4.1014552116394034,13.517602539062526,145.9461243218683
2012.0,1.0,1.0,3.0,30.0,0.0,0.0,0.0,4.7322177886962891,12.5388122558594,139.43623979889207
2012.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,5.3629803657531738,11.55999145507815,132.93594442026608
2012.0,1.0,1.0,4.0,30.0,0.0,0.0,0.0,5.5538854598999023,10.552392578125025,126.46601141650544
2012.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,5.7447910308837891,9.5447937011718995,120.04392168306921
2012.0,1.0,1.0,5.0,30.0,0.0,0.0,0.0,5.8354263305664062,8.9618164062500245,113.68671807863799
2012.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,5.9260616302490225,8.3788696289062727,107.41270510522008
2012.0,1.0,1.0,6.0,30.0,0.0,0.0,0.0,5.9334177970886222,8.1332946777343977,101.24276289170706
2012.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,5.9407739639282227,7.8877197265625227,95.201611798311404
2012.0,1.0,1.0,7.0,30.0,0.0,0.0,0.0,5.8408336639404297,8.4754882812500227,89.315437683322202
2012.0,1.0,1.0,8.0,0.0,78.0,39.0,348.0,5.7408933639526376,9.0632873535156495,83.631107447441948
2012.0,1.0,1.0,8.0,30.0,173.0,56.0,572.0,5.6687846183776855,10.152734375000025,78.185966012526066
2012.0,1.0,1.0,9.0,0.0,271.0,67.0,698.0,5.5966758728027335,11.2421813964844,73.038199230442189
2012.0,1.0,1.0,9.0,30.0,364.0,76.0,778.0,5.6197171211242685,12.350366210937526,68.257695846201585
2012.0,1.0,1.0,10.0,0.0,449.0,83.0,833.0,5.6427583694458008,13.45855102539065,63.928977637180736
2012.0,1.0,1.0,10.0,30.0,521.0,87.0,871.0,5.6724138259887695,14.30547485351565,60.151410414761379
2012.0,1.0,1.0,11.0,0.0,580.0,91.0,897.0,5.7020688056945801,15.152368164062526,57.036057370178654
2012.0,1.0,1.0,11.0,30.0,623.0,94.0,915.0,5.699432373046875,15.6789489746094,54.697328107412979
2012.0,1.0,1.0,12.0,0.0,649.0,95.0,925.0,5.6967954635620126,16.205529785156273,53.238493137488526
2012.0,1.0,1.0,12.0,30.0,659.0,96.0,930.0,5.6469254493713379,16.434411621093773,52.733124711559
2012.0,1.0,1.0,13.0,0.0,651.0,95.0,928.0,5.5970554351806641,16.663293457031273,53.208568895892142
2012.0,1.0,1.0,13.0,30.0,627.0,94.0,921.0,5.5396108627319336,16.591363525390648,54.639086802259577
2012.0,1.0,1.0,14.0,0.0,586.0,91.0,907.0,5.4821662902832031,16.519403076171898,56.952322117255832
2012.0,1.0,1.0,14.0,30.0,529.0,87.0,885.0,5.4121980667114258,16.163507080078148,60.045639061949309
2012.0,1.0,1.0,15.0,0.0,459.0,82.0,853.0,5.3422298431396484,15.8076110839844,63.804728645609906
2012.0,1.0,1.0,15.0,30.0,376.0,75.0,808.0,5.1629023551940918,15.063745117187526,68.118270969405145
2012.0,1.0,1.0,16.0,0.0,285.0,65.0,744.0,4.9835748672485352,14.319848632812526,72.886471240746104
2012.0,1.0,1.0,16.0,30.0,188.0,51.0,659.0,4.9565057754516602,13.151330566406275,78.024339278154855
2012.0,1.0,1.0,17.0,0.0,96.0,44.0,458.0,4.929436206817627,11.9827819824219,83.461557699647173
2012.0,1.0,1.0,17.0,30.0,0.0,0.0,0.0,4.9640512466430664,11.291833496093775,89.139681029266583
2012.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,4.9986658096313477,10.60088500976565,95.020594587374646
2012.0,1.0,1.0,18.0,30.0,0.0,0.0,0.0,4.9656229019165039,10.123803710937525,101.05768286198706
2012.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,4.932579517364502,9.6466918945312745,107.22438041869226
2012.0,1.0,1.0,19.0,30.0,0.0,0.0,0.0,4.847254753112793,9.2031188964843995,113.49580262854414
2012.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,4.7619295120239258,8.7595458984375227,119.85093309924002
2012.0,1.0,1.0,20.0,30.0,0.0,0.0,0.0,4.7132740020751953,8.3368164062500227,126.27134958736693
2012.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,4.6646184921264648,7.9140563964843977,132.7399012106541
2012.0,1.0,1.0,21.0,30.0,0.0,0.0,0.0,4.6729331016540527,7.5265136718750227,139.23900093923237
2012.0,1.0,1.0,22.0,0.0,0.0,0.0,0.0,4.6812477111816415,7.1389709472656477,145.74776818568728
