Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,8487.47
8.5,14149.9
9,17246.5
9.5,18780.2
10,19448.7
10.5,19254.3
11,18637.8
11.5,18034
12,17494.5
12.5,17281.3
13,17491.5
13.5,18034.4
14,18664.6
14.5,19316
15,19578.9
15.5,19097.9
16,17699.8
16.5,15305.9
17,10480.6
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,8757.19
32.5,14559.2
33,17618.9
33.5,19099.6
34,19669.7
34.5,19464
35,18806.9
35.5,18114.3
36,17557.5
36.5,17274.4
37,17444
37.5,17949.3
38,18557.3
38.5,19188.3
39,19466.3
39.5,18998.4
40,17671.3
40.5,15503.1
41,10582.7
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,8862.32
56.5,14664.2
57,17673.5
57.5,19056.8
58,19544.4
58.5,19278.9
59,18595.2
59.5,17866.1
60,17381.6
60.5,17108.3
61,17306.4
61.5,17714.5
62,18355.6
62.5,19032.3
63,19288.8
63.5,18888.7
64,17620.9
64.5,15343.4
65,10741.3
65.5,0
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,0
80,8012.98
80.5,13413.3
81,16355
81.5,17723.7
82,18292.2
82.5,18114.1
83,17478.8
83.5,16873.4
84,16326
84.5,16055.1
85,16166.3
85.5,16546.1
86,17006.9
86.5,17476.5
87,17631.4
87.5,17112.2
88,15943
88.5,13799.8
89,9389.14
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,7691.38
104.5,12929.9
105,15680.8
105.5,16889.6
106,12275.7
106.5,17275.4
107,16881
107.5,16365.8
108,15944.2
108.5,15711.3
109,13014.7
109.5,12243.7
110,13130.2
110.5,12073.8
111,13489.3
111.5,1466.97
112,5675.57
112.5,6264.33
113,3413.66
113.5,0
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,5795.15
128.5,13029.9
129,15976.8
129.5,17429.7
130,18035.3
130.5,17935.1
131,17401.9
131.5,16812
132,16341
132.5,16089.4
133,16262.4
133.5,16687
134,17254.6
134.5,17805.2
135,18035
135.5,7290.28
136,4814.09
136.5,3423.65
137,9742.56
137.5,0
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,7633.97
152.5,12882.7
153,15707.5
153.5,17170.8
154,17802.2
154.5,17729.3
155,17226.6
