Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,1126.6
8,8789.1
8.5,13351
9,1345.72
9.5,5810.53
10,17510.8
10.5,17215.8
11,16645
11.5,16078.5
12,7811.54
12.5,4800.63
13,7753
13.5,6194.89
14,5724.08
14.5,17014.6
15,17019.6
15.5,4292.04
16,2970.49
16.5,12446.8
17,7400.75
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,1065.06
32,8618.35
32.5,13241.2
33,15904.7
33.5,3434.26
34,4295.25
34.5,2580.76
35,3270.1
35.5,2797.8
36,6858.9
36.5,6888.98
37,6756.41
37.5,9356.89
38,9063.33
38.5,9262.12
39,12501.9
39.5,10539.4
40,6543.61
40.5,5001.72
41,1481.76
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,979.731
56,8314.93
56.5,12911.8
57,15590.8
57.5,16986.9
58,17474.5
58.5,17282.3
59,16771.5
59.5,16248.6
60,2404.76
60.5,7616.3
61,15937.4
61.5,16378.7
62,9496.83
62.5,9064.13
63,8539.33
63.5,16798.6
64,15264.6
64.5,12663.8
65,7660.4
65.5,0
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,41.4402
80,557.084
80.5,4067.16
81,2194.48
81.5,3398.11
82,6027.37
82.5,11016.1
83,10701.7
83.5,10520.7
84,12592.2
84.5,11435
85,8929.65
85.5,12656.1
86,12766.5
86.5,16745
87,16893.1
87.5,16488.6
88,15133
88.5,12685.3
89,7608.68
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,34.0377
104.5,92.6442
105,152.541
105.5,885.986
106,457.09
106.5,552.04
107,1485.73
107.5,1676.27
108,1627.55
108.5,4046.73
109,3934.73
109.5,3653.22
110,443.542
110.5,376.824
111,312.414
111.5,2568.44
112,1894.37
112.5,13108.9
113,7956.25
113.5,0
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,205.594
128.5,54.3522
129,337.924
129.5,696.614
130,1277.62
130.5,4762.75
131,2355.3
131.5,2247.93
132,2029.45
132.5,6051.39
133,7087.04
133.5,3590.78
134,7545.06
134.5,9436.24
135,10935.3
135.5,17834.8
136,16549
136.5,14132.2
137,8986.77
137.5,0
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,1255.76
152,9826.03
152.5,14936.1
153,17688.2
153.5,18978.5
154,19450.9
