Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSDBR,690190,-,TX,-,33.005915,-99.606481,-6,441,-6,unknown
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
2008.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5158803462982178,-0.33283081054685226,166.45787527624782
2008.0,1.0,1.0,0.0,30.0,0.0,0.0,0.0,3.4658818244934082,-0.68240966796872726,169.70923391101866
2008.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.4158835411071777,-1.0319580078124773,169.25063555257668
2008.0,1.0,1.0,1.0,30.0,0.0,0.0,0.0,3.3467588424682617,-1.3798889160156025,165.42938593283037
2008.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.2776339054107666,-1.7278503417968525,160.10549052633746
2008.0,1.0,1.0,2.0,30.0,0.0,0.0,0.0,3.1712357997894287,-2.0340026855468523,154.20670286142075
2008.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0648376941680913,-2.3401245117187277,148.06705857894281
2008.0,1.0,1.0,3.0,30.0,0.0,0.0,0.0,2.9694607257843018,-2.5646423339843523,141.82238216991172
2008.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,2.8740837574005127,-2.7891601562499773,135.53930412722588
2008.0,1.0,1.0,4.0,30.0,0.0,0.0,0.0,2.8105697631835937,-2.9533142089843523,129.2572062227058
2008.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,2.7470555305480961,-3.1174682617187277,123.00393531026285
2008.0,1.0,1.0,5.0,30.0,0.0,0.0,0.0,2.7058944702148442,-3.2356018066406023,116.8026589631526
2008.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.6647336483001709,-3.3537353515624773,110.67537893261715
2008.0,1.0,1.0,6.0,30.0,0.0,0.0,0.0,2.7255451679229736,-3.3894104003906023,104.64509902929156
2008.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,2.7863566875457764,-3.4250854492187277,98.737466607404158
2008.0,1.0,1.0,7.0,30.0,0.0,0.0,0.0,2.8155765533447266,-2.4348205566406023,92.982265585411923
2008.0,1.0,1.0,8.0,0.0,26.0,17.0,203.0,2.8447961807250977,-1.4445556640624773,87.412616523589804
2008.0,1.0,1.0,8.0,30.0,110.0,45.0,467.0,2.5861330032348637,0.053582763671897737,82.077274077330699
2008.0,1.0,1.0,9.0,0.0,205.0,59.0,650.0,2.327470064163208,1.5516906738281475,77.023523179589915
2008.0,1.0,1.0,9.0,30.0,298.0,68.0,756.0,2.445411205291748,3.5430541992187727,72.314710979466327
2008.0,1.0,1.0,10.0,0.0,385.0,76.0,825.0,2.563352108001709,5.5343872070312736,68.02558284422733
2008.0,1.0,1.0,10.0,30.0,460.0,81.0,872.0,2.8037738800048833,6.6885314941406477,64.242777591821181
2008.0,1.0,1.0,11.0,0.0,523.0,85.0,904.0,3.0441958904266362,7.8426452636718977,61.062542318812035
2008.0,1.0,1.0,11.0,30.0,571.0,88.0,926.0,3.127149105072021,8.4391723632812727,58.584738062006046
2008.0,1.0,1.0,12.0,0.0,603.0,90.0,940.0,3.2101025581359863,9.0356689453125245,56.902424271194924
2008.0,1.0,1.0,12.0,30.0,619.0,91.0,947.0,3.1998798847198486,9.2555786132812745,56.088024558348472
2008.0,1.0,1.0,13.0,0.0,618.0,91.0,947.0,3.1896572113037114,9.4754577636718995,56.179671604865277
2008.0,1.0,1.0,13.0,30.0,600.0,89.0,942.0,3.1373724937438965,9.3479553222656495,57.172973506960361
2008.0,1.0,1.0,14.0,0.0,566.0,87.0,930.0,3.085087776184082,9.2204223632812745,59.021999456149892
2008.0,1.0,1.0,14.0,30.0,516.0,84.0,910.0,3.1209273338317871,8.7586303710937727,61.649007403229639
2008.0,1.0,1.0,15.0,0.0,451.0,79.0,880.0,3.1567668914794917,8.2968383789062727,64.958537221080078
2008.0,1.0,1.0,15.0,30.0,375.0,72.0,838.0,3.1694478988647461,7.4423767089843977,68.850761075012514
2008.0,1.0,1.0,16.0,0.0,288.0,63.0,779.0,3.18212890625,6.5879150390625227,73.23101621417068
2008.0,1.0,1.0,16.0,30.0,196.0,50.0,702.0,3.1201167106628418,4.9709106445312736,78.014965835666402
2008.0,1.0,1.0,17.0,0.0,105.0,43.0,516.0,3.0581047534942627,3.3539062500000227,83.1302774560411
2008.0,1.0,1.0,17.0,30.0,0.0,0.0,0.0,3.1278529167175293,2.6410156250000227,88.515487773671836
2008.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,3.1976008415222168,1.9281250000000227,94.126929090858766
2008.0,1.0,1.0,18.0,30.0,0.0,0.0,0.0,3.1916496753692627,1.5261474609375227,99.915558256604001
2008.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,3.1856985092163086,1.1241699218750227,105.85017252876615
2008.0,1.0,1.0,19.0,30.0,0.0,0.0,0.0,3.1162090301513667,0.75930175781252274,111.901905999402
2008.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,3.0467195510864262,0.39446411132814768,118.04571506050405
2008.0,1.0,1.0,20.0,30.0,0.0,0.0,0.0,2.8760397434234619,0.052941894531272737,124.25886614397686
2008.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,2.705359935760498,-0.28854980468747732,130.51921219381043
2008.0,1.0,1.0,21.0,30.0,0.0,0.0,0.0,2.5039291381835938,-0.55698242187497726,136.80281359068493
2008.0,1.0,1.0,22.0,0.0,0.0,0.0,0.0,2.3024981021881104,-0.82541503906247726,143.07991860037561
2008.0,1.0,1.0,22.0,30.0,0.0,0.0,0.0,2.088341236114502,-0.93945922851560237,149.30684444582658
