Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,6042.33
8.5,12605.3
9,16463
9.5,18554.4
10,19361.7
10.5,19443.9
11,18905.4
11.5,18246.9
12,17671
12.5,17263.2
13,17260.1
13.5,17589.3
14,18146
14.5,18769.1
15,19190.4
15.5,18993.4
16,17984.4
16.5,16226.5
17,13233.3
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,6143.72
32.5,12840.6
33,16608.1
33.5,18432.6
34,19336
34.5,19374.5
35,18764.2
35.5,18075.6
36,17415.9
36.5,17030.5
37,16967.3
37.5,17258.5
38,17762.8
38.5,18309.7
39,18723.4
39.5,18573.8
40,17671.8
40.5,16092.1
41,13230.6
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,5956.78
56.5,12638.4
57,16388.2
57.5,18302.3
58,19256.6
58.5,19435.6
59,18936.9
59.5,18317.9
60,17736.9
60.5,17398.9
61,17411.3
61.5,17706.7
62,18272.3
62.5,18864.8
63,19284
63.5,19098.6
64,18104.7
64.5,16340.9
65,13253.7
65.5,0
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,0
80,5577.75
80.5,11935.6
81,15335.4
81.5,17157.2
82,17868
82.5,18057.3
83,17635
83.5,17112.5
84,13861.5
84.5,16327.6
85,10451.4
85.5,11858.5
86,13082.7
86.5,17700.3
87,18137.9
87.5,18012.8
88,13781.3
88.5,15522
89,12596.3
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,1197.8
104.5,3704.72
105,12289.2
105.5,13452.4
106,11711.5
106.5,6706.69
107,3718.26
107.5,7536.18
108,6943.51
108.5,7260.01
109,4292.21
109.5,9803.32
110,9585.22
110.5,17362
111,14360.7
111.5,17565.3
112,16745
112.5,13804.3
113,10795.8
113.5,2930.85
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,5416.29
128.5,11956.2
129,15649.5
129.5,17654.9
130,18447
130.5,18677.7
131,18229.1
131.5,17706.4
132,17231.1
132.5,16876.4
133,16881.7
133.5,17239.8
134,17756.8
134.5,18344
135,18781.9
135.5,18649.7
136,17749.4
136.5,16131.6
137,13126.1
137.5,6806.46
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,5487.67
152.5,12236.2
153,16018
153.5,18061
154,18884.4
154.5,18987.3
155,18436.7
