Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,644.6
8.5,2534.25
9,4030.63
9.5,18546.9
10,19494
10.5,19596.4
11,19027.5
11.5,18363.9
12,17747.9
12.5,17407.3
13,17408.3
13.5,17721.3
14,18302.5
14.5,18947.2
15,19395.5
15.5,19222.4
16,18264.8
16.5,16536.1
17,13557
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,6395.05
32.5,13277.7
33,10870.9
33.5,16132.5
34,14105.5
34.5,14552.5
35,15537.7
35.5,16551.4
36,16147.3
36.5,12617.6
37,13704.9
37.5,9361.17
38,4241.82
38.5,19326.2
39,19813.7
39.5,19680.3
40,18716
40.5,5671.6
41,14032.5
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,6224.12
56.5,13110.1
57,16945.7
57.5,18852.3
58,19774.6
58.5,19842.7
59,19259.7
59.5,18601
60,17969.9
60.5,17597.2
61,17571
61.5,17896.4
62,18468.2
62.5,19075.5
63,19507.6
63.5,19326.8
64,18343.7
64.5,16548.9
65,13496.3
65.5,0
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,0
80,0
80.5,73.599
81,574.222
81.5,1425.37
82,2960.88
82.5,1858.22
83,5836.04
83.5,6697.64
84,6284.73
84.5,11458.1
85,11373.9
85.5,9535.68
86,17647.2
86.5,18163.7
87,18582.2
87.5,18352.4
88,17369.9
88.5,15636.5
89,12646.9
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,5462.83
104.5,2456.79
105,3925.05
105.5,5096.95
106,18251.2
106.5,18418.6
107,17961.1
107.5,17339.2
108,16769.3
108.5,16471.8
109,16472.1
109.5,16768.7
110,17291.9
110.5,17863.3
111,18281.1
111.5,18173.3
112,17302.1
112.5,15531.2
113,12812.4
113.5,7200.26
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,5414.57
128.5,11920
129,15611
129.5,17512.4
130,18449.6
130.5,18629.5
131,14904.8
131.5,14484.2
132,14233.7
132.5,12744.2
133,16508.4
133.5,16739.2
134,14145.6
134.5,14274.8
135,13732.5
135.5,15447.5
136,17154.9
136.5,15432.4
137,12761.8
137.5,7127.79
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,5240.46
152.5,2237.46
153,3686.58
153.5,837.77
154,1062.77
154.5,1264.38
