Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,6822.31
8.5,13446.7
9,16976.4
9.5,18743.8
10,19571
10.5,19546.6
11,18950.8
11.5,18320.7
12,17719.5
12.5,17424.2
13,17520.6
13.5,17904.2
14,18506.2
14.5,19137.5
15,19506.8
15.5,19158.5
16,18001.9
16.5,16041.5
17,13202.7
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,7013.13
32.5,13788.1
33,17307
33.5,18998.5
34,19755.5
34.5,19697.6
35,19052.5
35.5,18347.3
36,17704.5
36.5,17354.2
37,17376.8
37.5,17673.8
38,18225.9
38.5,18784.7
39,19127
39.5,18849.5
40,17751.3
40.5,15867.5
41,13066
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,6773.77
56.5,13344.4
57,16701.3
57.5,18422.6
58,19223.6
58.5,19314.7
59,18788.9
59.5,18183.2
60,17647.4
60.5,17388
61,17460.7
61.5,17835.2
62,18452.4
62.5,19039.9
63,19413.6
63.5,19111.6
64,17980.9
64.5,16049.9
65,13074.4
65.5,0
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,0
80,6445.13
80.5,12700.5
81,15923.6
81.5,17475.3
82,18161.8
82.5,18133
83,17576.7
83.5,16986.2
84,16439.3
84.5,16119
85,16131.3
85.5,16437.2
86,16891.6
86.5,17404.3
87,17701.9
87.5,15141.4
88,13904.6
88.5,14736.4
89,11902.7
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,0
104.5,3983.09
105,5651.17
105.5,13715.3
106,14623.4
106.5,12051.9
107,12326.6
107.5,12810
108,11899.2
108.5,11411.8
109,12276.7
109.5,11461.5
110,7716.48
110.5,14750.8
111,8506.36
111.5,7021.24
112,5114.4
112.5,1545.54
113,793.773
113.5,0
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,6212.61
128.5,12545.3
129,15875.6
129.5,17603
130,18430.7
130.5,18510.7
131,17999.9
131.5,17435.5
132,16889.4
132.5,16602.4
133,16674
133.5,17045.3
134,17528.5
134.5,18088.9
135,18432
135.5,18128.2
136,17035.7
136.5,15180.3
137,12153.1
137.5,0
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,6269.34
152.5,12626.4
153,8544.78
153.5,9785.85
154,18503.8
154.5,18465.8
155,17868.9
