Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,6040.46
8.5,9372.95
9,9935.44
9.5,12246.9
10,13376.8
10.5,9568.88
11,12708.6
11.5,8804.58
12,8028.22
12.5,12296.4
13,14009.5
13.5,12220.3
14,8277.03
14.5,7850.4
15,12607.9
15.5,10315.4
16,2989.85
16.5,7039.32
17,5042.04
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,161.153
32.5,594.931
33,1421.56
33.5,3623.62
34,3252.1
34.5,6173.22
35,7420.89
35.5,8701.87
36,8118.55
36.5,8198.78
37,8675.47
37.5,7367.9
38,7043.54
38.5,9376.46
39,9062.66
39.5,6827.58
40,9394.3
40.5,4311.79
41,2607.44
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,5962.32
56.5,465.692
57,1129.16
57.5,237.431
58,1561.3
58.5,2739.76
59,6214.25
59.5,5875.26
60,1021.63
60.5,8971.06
61,3098.02
61.5,5150.08
62,1612.19
62.5,2617.59
63,4064.84
63.5,2227.76
64,6550.61
64.5,1273.71
65,711.864
65.5,0
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,0
80,45.0928
80.5,175.014
81,302.502
81.5,995.55
82,2098.47
82.5,1396.25
83,3991.7
83.5,2393.63
84,1645.62
84.5,3673.6
85,5900.54
85.5,5898.84
86,4392.23
86.5,2240.06
87,377.857
87.5,1285.13
88,17481.1
88.5,15751.7
89,13083.6
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,5659.83
104.5,12177.3
105,15927.9
105.5,9571.5
106,7651.04
106.5,9929.85
107,18395.2
107.5,17782.1
108,17226.7
108.5,16909
109,16897.2
109.5,17207.5
110,17657
110.5,18319.7
111,18785.7
111.5,18662.9
112,17798.6
112.5,16083.3
113,13435.9
113.5,7801.8
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,6222.61
128.5,13265.9
129,17161.7
129.5,19057.6
130,19926.5
130.5,19963.9
131,19345.8
131.5,18563.7
132,17977.8
132.5,17596.8
133,17549.8
133.5,17838.3
134,18302.4
134.5,19006.9
135,19520.7
135.5,19456.7
136,18613.1
136.5,16897.9
137,14199.2
137.5,8200.99
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,706.334
152.5,2697.68
153,5863.85
153.5,8358.72
154,9828.82
