Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,1249.71
8,9367.76
8.5,14346.5
9,17142.2
9.5,18494.3
10,19013
10.5,18740
11,18140
11.5,17569.7
12,17112.7
12.5,16934.5
13,17253.3
13.5,17784.6
14,18408.6
14.5,19050.8
15,19169.7
15.5,18513.3
16,17102.5
16.5,14450.1
17,8587.29
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,1344.26
32,9864.33
32.5,14965.8
33,17734.8
33.5,19043.1
34,19495
34.5,19179.2
35,18534.3
35.5,17874.4
36,17400.7
36.5,17188.5
37,17434.6
37.5,17948.2
38,18600.6
38.5,19210.2
39,19319.3
39.5,18692.6
40,17309.3
40.5,14716.4
41,8958.91
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,1376.48
56,10154.7
56.5,15290.2
57,18049.5
57.5,19248.2
58,19650.7
58.5,19263.7
59,18578.8
59.5,17909.8
60,17408.6
60.5,17172.6
61,17404.5
61.5,17870.7
62,18487.9
62.5,19065.4
63,19203.6
63.5,18593.4
64,17266.6
64.5,14728.4
65,9104.9
65.5,0
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,1128.5
80,9023.2
80.5,13730.7
81,16344.1
81.5,17562.2
82,18022.9
82.5,17755.8
83,17137
83.5,16567
84,16109
84.5,12337.4
85,12387.1
85.5,12397.4
86,12334.5
86.5,4184.6
87,3625.81
87.5,1340.09
88,783.158
88.5,1206.25
89,494.457
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,1045.98
104,8527.66
104.5,12959.4
105,15396.5
105.5,16633
106,17202.2
106.5,17131.7
107,16736.9
107.5,16227.3
108,15851.9
108.5,15647.1
109,4986.32
109.5,16281.2
110,16750.9
110.5,8052.36
111,7499
111.5,9601.92
112,15272.4
112.5,12909.8
113,7948.21
113.5,0
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,213.796
128.5,7172.09
129,8239.33
129.5,2850.4
130,7766.84
130.5,10166
131,11459.3
131.5,14021.2
132,9758.19
132.5,13146
133,9730.81
133.5,9692.54
134,17067.5
134.5,17572.9
135,17669.2
135.5,17033
136,7061.22
136.5,13240.4
137,8218.89
137.5,0
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,1002.61
152,8636.44
152.5,13311.2
153,8566.18
153.5,17283.2
154,17832.9
