Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSDBR,690190,-,TX,-,33.005915,-99.606481,-6,441,-6,unknown
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
2009.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.4508635997772217,3.1481567382812727,166.35826497979619
2009.0,1.0,1.0,0.0,30.0,0.0,0.0,0.0,3.5915145874023442,3.0380187988281482,169.62989754309257
2009.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.7321653366088872,2.9279113769531482,169.22208759780389
2009.0,1.0,1.0,1.0,30.0,0.0,0.0,0.0,3.8646106719970703,2.8233276367187727,165.44180451687942
2009.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.9970557689666748,2.7187133789062727,160.13781026083441
2009.0,1.0,1.0,2.0,30.0,0.0,0.0,0.0,4.1832928657531738,2.6449829101562727,154.24840408219634
2009.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,4.3695297241210938,2.5712219238281482,148.11326705850348
2009.0,1.0,1.0,3.0,30.0,0.0,0.0,0.0,4.515751838684082,2.4778686523437727,141.87055593168853
2009.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,4.6619739532470703,2.3844848632812727,135.58793096125078
2009.0,1.0,1.0,4.0,30.0,0.0,0.0,0.0,4.7326040267944336,2.2755371093750227,129.30526864078936
2009.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,4.8032336235046387,2.1665893554687727,123.05066577100872
2009.0,1.0,1.0,5.0,30.0,0.0,0.0,0.0,4.8542108535766602,2.0985961914062727,116.84741484089993
2009.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,4.9051885604858398,2.0306335449218977,110.71757127107044
2009.0,1.0,1.0,6.0,30.0,0.0,0.0,0.0,4.9867630004882812,2.0489440917968977,104.6841471130804
2009.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,5.0683379173278809,2.0672851562500227,98.772765563332314
2009.0,1.0,1.0,7.0,30.0,0.0,0.0,0.0,5.1182150840759277,2.9700866699218977,93.013161005637983
2009.0,1.0,1.0,8.0,0.0,25.0,16.0,191.0,5.1680922508239746,3.8728881835937727,87.438370123020732
2009.0,1.0,1.0,8.0,30.0,107.0,45.0,453.0,5.0751266479492187,5.7763916015625227,82.097099269136052
2009.0,1.0,1.0,9.0,0.0,202.0,59.0,637.0,4.9821610450744629,7.6798950195312727,77.036504556496936
2009.0,1.0,1.0,9.0,30.0,294.0,68.0,744.0,4.9947638511657724,10.0678649902344,72.319850198182863
2009.0,1.0,1.0,10.0,0.0,380.0,76.0,813.0,5.0073666572570801,12.45586547851565,68.0218180718539
2009.0,1.0,1.0,10.0,30.0,455.0,81.0,859.0,5.1720499992370605,14.46099243164065,64.229043519355187
2009.0,1.0,1.0,11.0,0.0,517.0,85.0,891.0,5.336733341217041,16.466149902343773,61.037876016041061
2009.0,1.0,1.0,11.0,30.0,564.0,88.0,912.0,5.3954992294311523,17.977532958984398,58.548430616560154
2009.0,1.0,1.0,12.0,0.0,596.0,90.0,925.0,5.4542646408081055,19.488946533203148,56.854194426187341
2009.0,1.0,1.0,12.0,30.0,612.0,91.0,932.0,5.4419384002685547,20.555749511718773,56.028159444415778
2009.0,1.0,1.0,13.0,0.0,610.0,91.0,932.0,5.4296116828918466,21.622583007812523,56.109065785015495
2009.0,1.0,1.0,13.0,30.0,593.0,89.0,926.0,5.3518228530883789,22.198022460937523,57.093027903556653
2009.0,1.0,1.0,14.0,0.0,558.0,87.0,913.0,5.2740345001220703,22.773431396484398,58.934408679005358
2009.0,1.0,1.0,14.0,30.0,508.0,84.0,891.0,5.0526261329650879,22.814294433593769,61.555517111511918
2009.0,1.0,1.0,15.0,0.0,444.0,79.0,860.0,4.8312177658081055,22.855157470703148,64.86075124584714
2009.0,1.0,1.0,15.0,30.0,368.0,72.0,816.0,4.5624046325683585,21.820825195312523,68.750034031688813
2009.0,1.0,1.0,16.0,0.0,283.0,63.0,755.0,4.2935910224914551,20.786492919921894,73.128423420320814
2009.0,1.0,1.0,16.0,30.0,191.0,50.0,672.0,4.1949548721313485,18.858361816406273,77.91132279136373
2009.0,1.0,1.0,17.0,0.0,102.0,44.0,483.0,4.0963191986083975,16.930230712890648,83.026184280452568
2009.0,1.0,1.0,17.0,30.0,0.0,0.0,0.0,3.967930793762207,16.132684326171898,88.411414482869716
2009.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,3.8395426273345943,15.335168457031275,94.023022340909861
2009.0,1.0,1.0,18.0,30.0,0.0,0.0,0.0,3.5569322109222412,14.7698913574219,99.812071458401505
2009.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,3.2743217945098881,14.20464477539065,105.74720237700458
2009.0,1.0,1.0,19.0,30.0,0.0,0.0,0.0,2.9101896286010738,13.62261352539065,111.79948268069813
2009.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,2.5460572242736816,13.040612792968775,117.94381015782145
2009.0,1.0,1.0,20.0,30.0,0.0,0.0,0.0,2.6043765544891362,12.360559082031275,124.15739382518456
2009.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,2.6626958847045898,11.680505371093775,130.41802341425768
2009.0,1.0,1.0,21.0,30.0,0.0,0.0,0.0,3.0123181343078613,10.7647644042969,136.70168252300806
2009.0,1.0,1.0,22.0,0.0,0.0,0.0,0.0,3.3619406223297119,9.8489929199218995,142.9785213995369
2009.0,1.0,1.0,22.0,30.0,0.0,0.0,0.0,3.4983158111572266,8.7912536621093977,149.20473899285631
