Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,10259.7
9,15469.7
9.5,18166.8
10,19238.5
10.5,19559.6
11,19118.3
11.5,18345.8
12,17636.8
12.5,17116.5
13,16898
13.5,17215.6
14,17768.4
14.5,18549.1
15,19333.9
15.5,19744.8
16,19444.1
16.5,12148.2
17,10200.8
17.5,3051.59
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,0
32.5,6768.8
33,10748
33.5,12653.8
34,13854.8
34.5,16625.9
35,16499.2
35.5,15994.3
36,10496.6
36.5,10623.5
37,10607.2
37.5,10604.5
38,17658.3
38.5,13814.7
39,13984.8
39.5,13918
40,19096.6
40.5,17950.8
41,16017.6
41.5,12559
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,0
56.5,130.278
57,948.057
57.5,446.545
58,133.008
58.5,7974.95
59,6070.15
59.5,3353.53
60,3851.62
60.5,3374.65
61,6906.43
61.5,2427.19
62,6157.64
62.5,10402.2
63,10802.6
63.5,6912.25
64,8505.52
64.5,4409.13
65,2000.96
65.5,929.293
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,0
80,0
80.5,9930.19
81,15307.5
81.5,18098.6
82,19220.5
82.5,19605.7
83,19236.6
83.5,18464.1
84,17738.3
84.5,17221.6
85,16970.4
85.5,17219.9
86,17757.1
86.5,18513.5
87,19278.4
87.5,19691.7
88,19422
88.5,18452.9
89,16698.3
89.5,13285.1
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,0
104.5,10259.3
105,15674.6
105.5,18447.4
106,19461.1
106.5,19706.1
107,19201.3
107.5,18390.9
108,17643.3
108.5,17114.8
109,16845.7
109.5,17073.2
110,17555.8
110.5,18273.4
111,19043.8
111.5,19392.7
112,19083.8
112.5,18145.4
113,16400.2
113.5,13094.6
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,0
128.5,10009.3
129,136.735
129.5,562.083
130,665.5
130.5,1007.02
131,1793.32
131.5,2477.08
132,3493.6
132.5,4353.48
133,4526.33
133.5,4248.29
134,4704.12
134.5,5199.83
135,6280.11
135.5,7117.38
136,6773.74
136.5,18457.5
137,16619.6
137.5,13096.5
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,0
152.5,10537
153,16177.2
153.5,19083.2
154,20263.3
154.5,20647.9
155,20230.7
