Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,6999.43
8.5,13682.9
9,17191.1
9.5,18964.5
10,19800.8
10.5,19793.5
11,19213.1
11.5,18578.5
12,18016.5
12.5,17701.9
13,17824.6
13.5,18220.7
14,18840.1
14.5,19489.8
15,19878.3
15.5,19559.6
16,18404.8
16.5,16457.8
17,13622.9
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,3010.17
32.5,14339
33,13654
33.5,19598.4
34,20401.3
34.5,20393
35,15089.2
35.5,15982.5
36,14715.4
36.5,13147.3
37,13729.8
37.5,12952
38,18944.1
38.5,16476.2
39,9575.8
39.5,7114.09
40,15235.2
40.5,16572.5
41,13696.5
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,4352.92
56.5,9463.44
57,6599.62
57.5,14087.2
58,15266.6
58.5,19961.1
59,19314.3
59.5,18647.4
60,18050.3
60.5,17701.8
61,17756.5
61.5,18104.1
62,18704.4
62.5,19293
63,19665.8
63.5,19377.9
64,18212
64.5,16207.2
65,13161.1
65.5,0
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,0
80,31.9391
80.5,191.502
81,935.304
81.5,1299.36
82,2595.76
82.5,3308.04
83,7922.27
83.5,9544.91
84,12144.5
84.5,13460.7
85,6439.56
85.5,5282.17
86,4312.13
86.5,2514.43
87,3130.91
87.5,2547.19
88,2994.33
88.5,1974.24
89,1041.87
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,6048.26
104.5,2434.47
105,3840.63
105.5,17502.5
106,18250.8
106.5,18334.9
107,17837.6
107.5,17275.1
108,16771.3
108.5,16472.6
109,16536.5
109.5,16867.1
110,17370.7
110.5,17909.1
111,18204
111.5,17876.5
112,16858.2
112.5,14813.7
113,11737
113.5,0
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,6038.3
128.5,12321.2
129,2259.34
129.5,3168.79
130,7100.18
130.5,7745.57
131,8321.99
131.5,8764.62
132,11279.1
132.5,11284.8
133,11243.2
133.5,12989.6
134,13703.2
134.5,17868.1
135,11104.7
135.5,13935.7
136,15255.2
136.5,9219.22
137,6817.57
137.5,0
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,146.414
152.5,937.375
153,1681.73
153.5,2230.49
154,2816.58
154.5,2423.5
155,2865.51
