Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,1677.1
8.5,6346.66
9,8375.53
9.5,11818.8
10,12960
10.5,19085
11,18433.6
11.5,17546.8
12,16847
12.5,16440.8
13,16493.2
13.5,16975
14,17654.2
14.5,13409.2
15,14382.5
15.5,19051.6
16,16742
16.5,10569.1
17,7235.13
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,183.912
32.5,1873.36
33,11266.7
33.5,14836.8
34,15740.8
34.5,15286.2
35,14869.6
35.5,14988.9
36,14432.9
36.5,14167.7
37,15939.1
37.5,16364.2
38,17013.2
38.5,17885.6
39,18415.6
39.5,18331
40,17452.1
40.5,15701.2
41,11899.4
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,1965.71
56.5,7318.87
57,15451.7
57.5,17555.2
58,18570
58.5,18680.1
59,18058.5
59.5,11703.4
60,11608.2
60.5,13193.2
61,13924
61.5,16423.2
62,17051.5
62.5,13492.6
63,11766.7
63.5,6862.85
64,1233.18
64.5,1670.92
65,835.962
65.5,0
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,0
80,451.409
80.5,2799.73
81,4479.38
81.5,3927.11
82,5538.75
82.5,12085.5
83,7558.32
83.5,7952.81
84,7646.79
84.5,7828.43
85,3648.43
85.5,5551
86,3915.25
86.5,3958.59
87,6701.26
87.5,2157.3
88,2140.69
88.5,5309.21
89,3292.96
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,3458.99
104.5,7811.6
105,15978.8
105.5,18200.7
106,19247.3
106.5,19351.4
107,18687.2
107.5,17705.7
108,16967.7
108.5,16498.3
109,16422.3
109.5,16815.3
110,17425.8
110.5,18164.2
111,18830.6
111.5,18740.2
112,17856.7
112.5,16122.1
113,12459.2
113.5,0
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,3547.74
128.5,8100.95
129,15938.9
129.5,17995.8
130,18908.1
130.5,18968.4
131,18329.4
131.5,17431.8
132,16724.9
132.5,16276.6
133,16257.4
133.5,16677.3
134,17330.9
134.5,18091.8
135,18828.8
135.5,18814.4
136,18035.6
136.5,16410.8
137,14457.6
137.5,0
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,407.247
152.5,2715.31
153,8378.6
153.5,14591.5
154,10569
154.5,16024.5
155,14478.1
