Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,1546.99
9,3321.8
9.5,4724.4
10,5956.59
10.5,5595.99
11,6151.9
11.5,19156
12,18441.9
12.5,17930.7
13,17695.3
13.5,17968
14,15799.9
14.5,19238.5
15,19991.5
15.5,20290.3
16,20044.6
16.5,18840.1
17,16602.6
17.5,5479.13
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,0
32.5,5784.81
33,8857.63
33.5,13968.2
34,13280.6
34.5,17118.3
35,19548.7
35.5,18760.6
36,17998.1
36.5,17476
37,10310.7
37.5,11067.7
38,15662.4
38.5,17598.9
39,19010.7
39.5,17244.7
40,16268.9
40.5,10277.5
41,10931.9
41.5,3056.7
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,0
56.5,6236.44
57,10500.8
57.5,16217.4
58,12967
58.5,17668.2
59,17193.3
59.5,14105.1
60,12470.2
60.5,12960.3
61,12316.2
61.5,13265.2
62,13509.6
62.5,17589.6
63,18269.7
63.5,18510.9
64,18262.4
64.5,17120.6
65,15060.4
65.5,4565.55
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,0
80,0
80.5,9727.21
81,14919.7
81.5,17589.1
82,18714.5
82.5,18853.4
83,18404.1
83.5,17756
84,17104.9
84.5,16634.4
85,16388.6
85.5,16646
86,17170.1
86.5,14288.6
87,18525.9
87.5,18866.8
88,18501.2
88.5,15529.7
89,6676.94
89.5,2042.65
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,0
104.5,5603.92
105,10393.6
105.5,11554.9
106,15231.8
106.5,20288.3
107,16130.9
107.5,16132.8
108,16107.1
108.5,15992.2
109,15596.8
109.5,16515.8
110,17899.8
110.5,17500.9
111,18835.8
111.5,15634.7
112,16597.4
112.5,11382.1
113,8805.37
113.5,5952.61
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,0
128.5,5125.17
129,9860.57
129.5,7399.57
130,12525
130.5,14830.2
131,15275.7
131.5,14002.9
132,16285
132.5,15800.5
133,16540.7
133.5,13882
134,16022.8
134.5,13440.6
135,12599.3
135.5,8257.86
136,9727.14
136.5,11210.2
137,11791.9
137.5,8017.52
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,0
152.5,3482.7
153,3913.57
153.5,4873.02
154,7322.01
154.5,8038.95
155,3281.09
