Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,7428.66
8.5,13854.4
9,17257.1
9.5,18921.7
10,19697.3
10.5,19640.2
11,19016
11.5,18354.2
12,17828.6
12.5,17551.7
13,17738.2
13.5,18258.2
14,18890
14.5,19573.2
15,19883.3
15.5,19430.8
16,18231.7
16.5,15867
17,10816.1
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,7719.9
32.5,14343.6
33,17713.3
33.5,19376.4
34,20102.2
34.5,19986.2
35,19308.1
35.5,18607.8
36,18022.1
36.5,16057.3
37,16756.4
37.5,16462.3
38,16891.6
38.5,15906.7
39,16677.5
39.5,18137.2
40,15450.2
40.5,14316.3
41,9223.27
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,3554.24
56.5,7229.16
57,12291
57.5,14256.9
58,19894.5
58.5,19754.4
59,15535.6
59.5,15731.4
60,15420.5
60.5,17428.5
61,14063
61.5,15475.7
62,15824.3
62.5,14415.4
63,11202.4
63.5,8215.75
64,11811.4
64.5,7314.24
65,4132.85
65.5,0
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,0
80,426.65
80.5,1013.16
81,1882.97
81.5,1357.62
82,2839.84
82.5,2738.52
83,6971.18
83.5,5993.79
84,5992.41
84.5,9711.5
85,12055.7
85.5,12843.8
86,13673
86.5,2023.35
87,4527.89
87.5,1504.89
88,1826.79
88.5,1164.82
89,9553.97
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,6361.15
104.5,12234.6
105,6927.65
105.5,17280.3
106,17972.5
106.5,17981.3
107,17450.8
107.5,16846.5
108,16328.6
108.5,16042.9
109,16198.3
109.5,16609.9
110,17165.8
110.5,17727.8
111,18015.7
111.5,17554
112,16388.2
112.5,14118
113,9623.15
113.5,0
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,6422
128.5,1737.85
129,3924.36
129.5,1201.56
130,1512.84
130.5,871.563
131,2735.12
131.5,4856.74
132,2462.21
132.5,5788.03
133,10126.3
133.5,9303.67
134,8763.74
134.5,7422
135,2978.63
135.5,10842.7
136,3155.25
136.5,3718.9
137,1510.64
137.5,0
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,290.923
152.5,846.661
153,3811.17
153.5,4837.73
154,2916.43
154.5,3385.76
155,2995.63
