Source,USAD,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Version
NSDBR,690190,-,TX,-,29.663829,-95.375693,-6,15,-6,unknown
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
2013.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0142881870269771,18.336724853515648,171.28497191066359
2013.0,1.0,1.0,0.0,30.0,0.0,0.0,0.0,2.9693799018859863,18.271936035156273,173.24162140300712
2013.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.9244718551635738,18.207177734375023,169.72746943660729
2013.0,1.0,1.0,1.0,30.0,0.0,0.0,0.0,2.8926825523376465,18.100000000000023,164.02190890397239
2013.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.8608934879302983,17.992822265625023,157.76298590382896
2013.0,1.0,1.0,2.0,30.0,0.0,0.0,0.0,2.6769070625305176,17.811425781250023,151.32540762802014
2013.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.4929208755493164,17.630029296875023,144.82436835868299
2013.0,1.0,1.0,3.0,30.0,0.0,0.0,0.0,2.2091860771179199,17.340478515625026,138.3091186352797
2013.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.9254510402679443,17.050927734375026,131.8073949971363
2013.0,1.0,1.0,4.0,30.0,0.0,0.0,0.0,1.9014892578125,16.711083984375026,125.3390213612838
2013.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.8775275945663448,16.371240234375026,118.92117722002888
2013.0,1.0,1.0,5.0,30.0,0.0,0.0,0.0,2.215510368347168,15.88945922851565,112.57095304882144
2013.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.5534930229187012,15.4077087402344,106.30694282843186
2013.0,1.0,1.0,6.0,30.0,0.0,0.0,0.0,3.0051212310791016,14.67693481445315,100.15053021515473
2013.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,3.4567492008209233,13.946191406250026,94.127165527221223
2013.0,1.0,1.0,7.0,30.0,4.0,4.0,0.0,3.9510917663574219,13.1310974121094,88.264864170324557
2013.0,1.0,1.0,8.0,0.0,31.0,31.0,0.0,4.4454345703125,12.3160339355469,82.609425038149524
