Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,4002.21
9,15887.8
9.5,18692.2
10,19985.4
10.5,20146.3
11,19725.7
11.5,18912.5
12,18154.9
12.5,17633.6
13,17411.4
13.5,17708
14,18269.6
14.5,19096
15,19950.8
15.5,20367.2
16,20117.1
16.5,19103.9
17,17262.7
17.5,13794.6
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,0
32.5,4137.86
33,5250.93
33.5,17514.7
34,18673.1
34.5,15178.8
35,18020.7
35.5,12413.4
36,18054.5
36.5,16694.5
37,13616.2
37.5,15563.2
38,13739.1
38.5,9816.41
39,2429.49
39.5,14200.4
40,3857.57
40.5,4949.96
41,174.717
41.5,70.0891
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,0
56.5,3834.62
57,8539.6
57.5,11659.3
58,13235.8
58.5,16699.3
59,17071
59.5,16269.7
60,17546.4
60.5,17006.7
61,16745.6
61.5,16962.8
62,17427.2
62.5,18125.7
63,18851
63.5,17617.9
64,18882.8
64.5,9485.07
65,8153.46
65.5,2397.2
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,0
80,0
80.5,127.036
81,754.527
81.5,2025.07
82,1517.04
82.5,7982.17
83,9697.19
83.5,9581.53
84,13140.4
84.5,11240.9
85,8736.89
85.5,7474.12
86,6592.79
86.5,6755.16
87,9664.54
87.5,8643.17
88,9734.47
88.5,15041.6
89,12897
89.5,3627.11
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,0
104.5,4446.14
105,14862.9
105.5,17587
106,18810.3
106.5,18962
107,18557
107.5,17821.4
108,17136.5
108.5,16607.5
109,16368.4
109.5,16622.1
110,17097.3
110.5,17787
111,18460.3
111.5,18784.7
112,18434
112.5,17381.3
113,15288
113.5,4523.62
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,0
128.5,1157.03
129,4388.83
129.5,14209
130,18949.3
130.5,19119.6
131,18700.8
131.5,17989.4
132,17282.7
132.5,16776.6
133,16541.6
133.5,16823.4
134,17331.2
134.5,18042.3
135,18776.1
135.5,19143.6
136,18842.9
136.5,17814.7
137,15940.9
137.5,12246.4
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,0
152.5,9617.44
153,14883
153.5,17618
154,18828.5
154.5,19057.7
155,18687.9
155.5,17992.9
