Hours since 00:00 Jan 1,30 Minute Data: Array power (DC) (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,786.547
8,9352.19
8.5,14897.9
9,17898.3
9.5,19385.7
10,20003.5
10.5,19795.1
11,19145
11.5,18549
12,18030.2
12.5,17850.3
13,18093.3
13.5,18674.9
14,19320.1
14.5,19985.3
15,20158.8
15.5,19572.5
16,18043.8
16.5,15671.2
17,10121.5
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,800.43
32,9700.95
32.5,15380.4
33,18419
33.5,19884.4
34,20475.5
34.5,20220.9
35,19536.2
35.5,18883.4
36,18326.9
36.5,18106.3
37,18339.9
37.5,18842.6
38,19476.8
38.5,18424.2
39,17811.5
39.5,8172.68
40,15642.4
40.5,10302.6
41,10219.2
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,212.783
56,4493.62
56.5,7412.96
57,18205.6
57.5,12680.5
58,20189.9
58.5,13864
59,19211.2
59.5,12991.8
60,17996.8
60.5,17675.2
61,16197.7
61.5,15758.6
62,15741.4
62.5,14494.3
63,14551.5
63.5,17047.2
64,17617.8
64.5,15136.7
65,9775.41
65.5,0
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,0
79,0
79.5,22.8948
80,541.676
80.5,733.581
81,1625.75
81.5,2574.42
82,3266.38
82.5,3771.99
83,2253.37
83.5,11945
84,12830.4
84.5,11106
85,9686.46
85.5,10405.5
86,2539.61
86.5,7459.02
87,8699.96
87.5,1156.4
88,590.841
88.5,587.992
89,270.743
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,7800.29
104.5,12793.5
105,15660.6
105.5,17194.1
106,17701.6
106.5,17566.7
107,17041.2
107.5,9933.12
108,11543.3
108.5,7452.46
109,8118.79
109.5,9184.04
110,4562.87
110.5,2113.67
111,1289.06
111.5,2655.43
112,1072.21
112.5,676.453
113,8587.12
113.5,0
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,8033.85
128.5,13124.3
129,16021.1
129.5,17540.2
130,18025.9
130.5,17893.8
131,17361.3
131.5,16822.1
132,16364.4
132.5,10635.6
133,16333.6
133.5,16742.1
134,17302.7
134.5,17821.2
135,17953.4
135.5,17380.8
136,4086.19
136.5,4539.88
137,1611.27
137.5,0
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,7793.53
152.5,12806.4
153,15698.7
153.5,17271.5
154,17827.4
